store_num	style_id	name	hh_mm	img_url	latitude	longitude
10	3186143	Panache Lingerie 'Andorra' Underwire Bra (DD Cup &	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/2/_8411622.jpg	47831917	-122275400
220	3023997	CHANEL CORRECTEUR PERFECTION LONG LASTING CONCEALE	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/15/_6211435.jpg	41891698	-87626280
730	3081616	Clarins 'Delectable' Self Tanning Mousse with Mira	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/19/_6004679.jpg	29735421	-95465146
762	3499411	CHANEL L�VRES SCINTILLANTES SAVAGE GRACE GLOSSIMER	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_7848043.jpg	26368447	-80134361
333	3605425	Lanc�me 'La Vie est Belle - Passions' Set ($115.50	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/2/_8402842.jpg	33616917	-117878503
762	3285412	CHANEL VITALUMIERE AQUA FRESH & HYDRATING CREAM CO	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/10/_6836970.jpg	26368447	-80134361
230	3628660	CHANEL NUIT INFINIE DE CHANEL ROUGE ALLURE VELVET	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/9/_8340429.jpg	38956474	-94715149
722	2922400	Kiehl's Since 1851 Creamy Eye Treatment with Avoca	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/14/_5343054.jpg	32830032	-97197178
230	3628661	CHANEL NUIT INFINIE DE CHANEL LE VERNIS NAIL COLOU	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/4/_8339744.jpg	38956474	-94715149
768	3519169	Yves Saint Laurent 'Volume Effet Faux Cils Baby Do	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/18/_7964958.jpg	25688804	-80311456
348	2810913	Yves Saint Laurent Anti-Cernes Multi-Action Concea	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/0/_44180.jpg	34187384	-118888308
762	2826969	CHANEL L�VRES SCINTILLANTES GLOSSIMER	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_7848043.jpg	26368447	-80134361
762	3499408	CHANEL L�VRES SCINTILLANTES DAYDREAM GLOSSIMER	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_7848043.jpg	26368447	-80134361
230	3402958	CHANEL LIGNE GRAPHIQUE DE CHANEL LIQUID EYELINER	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_8339863.jpg	38956474	-94715149
230	2826973	CHANEL LE VERNIS NAIL COLOUR	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/4/_8339744.jpg	38956474	-94715149
762	3500023	CHANEL L�VRES SCINTILLANTES MICA GLOSSIMER	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_7848043.jpg	26368447	-80134361
230	3628656	CHANEL NUIT INFINIE DE CHANEL POUDRE UNIVERSELLE L	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/18/_8339758.jpg	38956474	-94715149
380	3280721	Viktor & Rolf 'Spicebomb' Eau de Toilette	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/1/_6816101.jpg	33502142	-111929438
230	2826211	CHANEL POUDRE UNIVERSELLE LIBRE NATURAL FINISH LOO	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/18/_8339758.jpg	38956474	-94715149
2	3494654	Lanc�me 'L'Absolu Nu' Replenishing & Enhancing Lip	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/15/_7774555.jpg	47708545	-122324278
762	3499403	CHANEL L�VRES SCINTILLANTES CRUSHED CHERRY GLOSSIM	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_7848043.jpg	26368447	-80134361
762	3601223	CHANEL AQUA CRAYON LIP COLOUR STICK	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/19/_8246139.jpg	26368447	-80134361
230	3590790	CHANEL BRONZE TOP COAT SPARKLING MASCARA	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/13/_8340133.jpg	38956474	-94715149
240	3285612	Kiehl's Since 1851 'Facial Fuel - UV Guard' Sunscr	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/18/_6836998.jpg	38634717	-90346138
762	3499410	CHANEL L�VRES SCINTILLANTES ROSE SAUVAGE GLOSSIMER	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_7848043.jpg	26368447	-80134361
230	3244589	CHANEL ROUGE ALLURE VELVET LUMINOUS MATTE LIP COLO	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/9/_8340429.jpg	38956474	-94715149
751	3017851	Lanc�me 'High R�solution Refill-3X�' Triple Action	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/19/_7932719.jpg	35902531	-78939383
25	3599573	Topshop Satin Camisole	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/4/_8344924.jpg	45446607	-122781678
762	3499990	CHANEL L�VRES SCINTILLANTES AMOUR GLOSSIMER	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_7848043.jpg	26368447	-80134361
2	3169218	Lanc�me 'L'Absolu Nu' Replenishing & Enhancing Lip	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/12/_6351052.jpg	47708545	-122324278
774	3291006	AMOREPACIFIC 'Time Response' Skin Renewal Toner	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/5/_6873025.jpg	25957301	-80146782
348	2826740	CHANEL JOUES CONTRASTE POWDER BLUSH	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/7/_8340107.jpg	34187384	-118888308
762	3500029	CHANEL L�VRES SCINTILLANTES PLAISIR GLOSSIMER	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_7848043.jpg	26368447	-80134361
364	2826845	CHANEL COCO MADEMOISELLE EAU DE PARFUM CLASSIC BOT	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/4/_7359864.jpg	33068415	-117065892
730	3284381	RED Valentino Moto Rain Boot (Women)	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/14/_6964254.jpg	29735421	-95465146
348	3405125	CHANEL LE VOLUME DE CHANEL MASCARA	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/16/_7371236.jpg	34187384	-118888308
323	2922400	Kiehl's Since 1851 Creamy Eye Treatment with Avoca	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/14/_5343054.jpg	34071456	-117693894
731	3563213	Mini Boden Jersey Knit Jeans (Toddler Girls, Littl	1402	http://content.nordstrom.com/imagegallery/store/product/thumbnail/2/_8147622.jpg	30255371	-97809988
